stn,lat,lon,dt,trt,phyto,division,sd_division,grazing,sd_grazing,accumulation,sd_accumulation
4,33.54503,-118.402,2023-08-02T13:00:00Z,Control,Nanoeukaryotes,0.848222825682417,0.21183882754638733,0.9747855489908462,0.21183882754638733,-0.12656272330842921,0
4,33.54503,-118.402,2023-08-02T13:00:00Z,Control,Picoeukaryotes,0.8337902122505563,0.18016643456156958,0.523087488808395,0.18016643456156958,0.3107027234421613,6.409875621278546e-17
4,33.54503,-118.402,2023-08-02T13:00:00Z,Control,Synechococcus,0.8985909056188187,0.21793306964357875,0.5609944417853249,0.21793306964357875,0.33759646383349384,3.204937810639273e-17
4,33.54503,-118.402,2023-08-02T13:00:00Z,Thomas Fire Ash,Nanoeukaryotes,0.8447194669069749,0.12110754078602849,0.0856359633426271,0.12110754078602845,0.7590835035643477,0
4,33.54503,-118.402,2023-08-02T13:00:00Z,Thomas Fire Ash,Picoeukaryotes,0.657135088382712,0.061567814500346284,0.196874055335795,0.06156781450034632,0.46026103304691696,7.850462293418876e-17
4,33.54503,-118.402,2023-08-02T13:00:00Z,Thomas Fire Ash,Synechococcus,0.7173580668335073,0.06653713134780344,0.2104009198454369,0.0665371313478035,0.5069571469880703,1.1102230246251565e-16
5,33.93508,-119.6033,2023-08-03T13:00:00Z,Control,Nanoeukaryotes,0.880468992492687,0.22040973163086836,0.3876618742293746,0.22040973163086836,0.4928071182633124,5.551115123125783e-17
5,33.93508,-119.6033,2023-08-03T13:00:00Z,Control,Picoeukaryotes,0.7020203056228695,0.22164242678899482,0.5490509608414424,0.22164242678899485,0.1529693447814271,3.204937810639273e-17
5,33.93508,-119.6033,2023-08-03T13:00:00Z,Control,Synechococcus,0.4941181944897117,0.04720052089967384,0.25750642612463537,0.04720052089967384,0.2366117683650763,0
5,33.93508,-119.6033,2023-08-03T13:00:00Z,Thomas Fire Ash,Nanoeukaryotes,1.406879845322455,0.8350931430012365,0.5905000243385616,0.8350931430012366,0.8163798209838933,1.1102230246251565e-16
6,33.87091,-120.0511,2023-08-04T13:00:00Z,Control,Nanoeukaryotes,0.5439539889951717,0.1406056148842626,0.16539633380693156,0.1406056148842626,0.37855765518824,4.5324665183683945e-17
6,33.87091,-120.0511,2023-08-04T13:00:00Z,Control,Picoeukaryotes,0.7602517161445373,0.16731508823339764,0.1892721695587996,0.16731508823339764,0.5709795465857377,9.064933036736789e-17
6,33.87091,-120.0511,2023-08-04T13:00:00Z,Control,Synechococcus,0.3446620656926632,0.06522818229874941,0.05648309882072064,0.06522818229874941,0.2881789668719426,0
6,33.87091,-120.0511,2023-08-04T13:00:00Z,Thomas Fire Ash,Nanoeukaryotes,0.5229395722169526,0.2930296237963161,0.207203234074918,0.2930296237963161,0.31573633814203467,0
6,33.87091,-120.0511,2023-08-04T13:00:00Z,Thomas Fire Ash,Picoeukaryotes,0.797097796747129,0.2929329175359281,0.20713485242241447,0.2929329175359281,0.5899629443247145,0
6,33.87091,-120.0511,2023-08-04T13:00:00Z,Thomas Fire Ash,Synechococcus,0.3786642488503269,0.1529025905537307,0.10811845864153315,0.15290259055373073,0.27054579020879377,0
7,33.89884,-119.9588,2023-08-05T13:00:00Z,Control,Nanoeukaryotes,1.07720239698494,0.336003975671334,0.8757203424519096,0.336003975671334,0.20148205453303047,0
7,33.89884,-119.9588,2023-08-05T13:00:00Z,Control,Picoeukaryotes,1.3444363538447228,0.286752501946091,1.1381456069377718,0.28675250194609103,0.2062907469069511,6.409875621278546e-17
7,33.89884,-119.9588,2023-08-05T13:00:00Z,Control,Synechococcus,1.194630005721545,0.10900408897836864,0.6580037360108212,0.10900408897836862,0.5366262697107238,9.064933036736789e-17
7,33.89884,-119.9588,2023-08-05T13:00:00Z,Thomas Fire Ash,Nanoeukaryotes,1.033078477599235,0.33936508002281823,0.6906715054582074,0.33936508002281823,0.34240697214102755,0
7,33.89884,-119.9588,2023-08-05T13:00:00Z,Thomas Fire Ash,Picoeukaryotes,0.9002666136247321,0.05350409273138542,0.22026790590829307,0.05350409273138536,0.6799987077164391,0
7,33.89884,-119.9588,2023-08-05T13:00:00Z,Thomas Fire Ash,Synechococcus,1.0403789643049088,0.32051610584340207,0.36603204824511065,0.32051610584340207,0.6743469160597981,0
8,34.37358,-119.9131,2023-08-06T13:00:00Z,Control,Nanoeukaryotes,0.6342262630158442,0.1934940812783099,0.11351180712060623,0.19349408127830992,0.5207144558952379,0
8,34.37358,-119.9131,2023-08-06T13:00:00Z,Control,Picoeukaryotes,0.8823688767535164,0.2052283042572528,0.5569464763188885,0.20522830425725277,0.32542240043462795,5.551115123125783e-17
8,34.37358,-119.9131,2023-08-06T13:00:00Z,Control,Synechococcus,1.0210541003171303,0.08396724914754312,0.5704107183559362,0.08396724914754315,0.4506433819611941,6.409875621278546e-17
8,34.37358,-119.9131,2023-08-06T13:00:00Z,High Temp. Ash,Nanoeukaryotes,0.6652897389920388,0.25180386889646883,0.2713854532849503,0.25180386889646883,0.39390428570708846,0
8,34.37358,-119.9131,2023-08-06T13:00:00Z,High Temp. Ash,Synechococcus,0.6145311996011167,0.07688400100862747,0.04438899867870653,0.07688400100862747,0.5701422009224102,0
8,34.37358,-119.9131,2023-08-06T13:00:00Z,Low Temp. Ash,Nanoeukaryotes,0.7231533453890726,0.2876137208201206,0.19252509432690226,0.2876137208201207,0.5306282510621704,7.850462293418876e-17
8,34.37358,-119.9131,2023-08-06T13:00:00Z,Thomas Fire Ash,Nanoeukaryotes,0.960712653948757,0.31622883007483676,0.5762311981411836,0.31622883007483676,0.3844814558075734,3.925231146709438e-17
8,34.37358,-119.9131,2023-08-06T13:00:00Z,Thomas Fire Ash,Picoeukaryotes,0.8453526403276241,0.2272349881108244,0.13119418155508591,0.22723498811082443,0.7141584587725383,0
8,34.37358,-119.9131,2023-08-06T13:00:00Z,Thomas Fire Ash,Synechococcus,0.7355859192040868,0.1415879864964199,0.08995725660862376,0.14158798649641993,0.645628662595463,0
9,34.37036,-120.4748,2023-08-07T13:00:00Z,Control,Nanoeukaryotes,0.3151216779972207,0.14049039325030302,0.14960723951964733,0.14049039325030302,0.16551443847757336,2.2662332591841973e-17
10,34.80124,-121.3475,2023-08-08T13:00:00Z,Control,Picoeukaryotes,0.1282507546706129,0.23501922435408495,0.27693395231573775,0.23501922435408495,-0.1486831976451249,0
10,34.80124,-121.3475,2023-08-08T13:00:00Z,Control,Synechococcus,0.18674674029832805,0.13961736176911121,0.22254474617410708,0.1396173617691112,-0.03579800587577905,1.3877787807814457e-17
10,34.80124,-121.3475,2023-08-08T13:00:00Z,Thomas Fire Ash,Picoeukaryotes,NA,NA,NA,NA,NA,NA
10,34.80124,-121.3475,2023-08-08T13:00:00Z,Thomas Fire Ash,Synechococcus,NA,NA,NA,NA,NA,NA
11,35.08734,-120.916,2023-08-09T13:00:00Z,Control,Nanoeukaryotes,0.6046254893941818,0.3547442930011817,0.34951958737701355,0.3547442930011817,0.2551059020171682,3.204937810639273e-17
11,35.08734,-120.916,2023-08-09T13:00:00Z,Control,Picoeukaryotes,0.8406629683802556,0.10731931053525455,0.3900774249916217,0.10731931053525459,0.45058554338863394,5.551115123125783e-17
11,35.08734,-120.916,2023-08-09T13:00:00Z,Control,Synechococcus,0.5992347392197712,0.11132736041828489,0.2660394034008732,0.11132736041828491,0.33319533581889804,5.551115123125783e-17
11,35.08734,-120.916,2023-08-09T13:00:00Z,Thomas Fire Ash,Nanoeukaryotes,0.5168878625064435,0.1572628164362192,0.2292057900546626,0.15726281643621914,0.28768207245178085,5.551115123125783e-17
11,35.08734,-120.916,2023-08-09T13:00:00Z,Thomas Fire Ash,Picoeukaryotes,0.7131478472666147,0,0,0,0.7131478472666147,0
11,35.08734,-120.916,2023-08-09T13:00:00Z,Thomas Fire Ash,Synechococcus,0.5196231157455611,0.03279136107514913,0.01984732816615545,0.03279136107514911,0.49977578757940566,3.925231146709438e-17
12,35.21268,-121.3475,2023-08-13T13:00:00Z,Control,Nanoeukaryotes,0.9614930578455214,0.13672503048919868,0.41359494946453884,0.13672503048919868,0.5478981083809825,1.1102230246251565e-16
12,35.21268,-121.3475,2023-08-13T13:00:00Z,Control,Picoeukaryotes,0.7238742428786659,0.14609607931075572,0.10797969115191408,0.1460960793107557,0.6158945517267518,0
12,35.21268,-121.3475,2023-08-13T13:00:00Z,Control,Synechococcus,0.6685074859498459,0.06566331860875863,0.03283165930437932,0.06566331860875864,0.6356758266454666,0
12,35.21268,-121.3475,2023-08-13T13:00:00Z,Thomas Fire Ash,Nanoeukaryotes,0.642323870663374,0.14743392173633368,0.3019980647261711,0.14743392173633368,0.34032580593720296,0
12,35.21268,-121.3475,2023-08-13T13:00:00Z,Thomas Fire Ash,Synechococcus,0.38292890481390013,0.033835630931362215,0.019535010626422804,0.03383563093136222,0.3633938941874773,0
13,34.23625,-122.2133,2023-08-14T13:00:00Z,Control,Nanoeukaryotes,0.8525482479881846,0.13021605776441195,0.16618075441361815,0.13021605776441192,0.6863674935745665,0
13,34.23625,-122.2133,2023-08-14T13:00:00Z,Control,Picoeukaryotes,0.387866439668404,0.1007292054247462,0.06504111688837295,0.1007292054247462,0.32282532278003107,0
13,34.23625,-122.2133,2023-08-14T13:00:00Z,Control,Synechococcus,0.13826840139805,0.12211791947422775,0.18936750217396006,0.12211791947422775,-0.05109910077591006,8.012344526598183e-18
13,34.23625,-122.2133,2023-08-14T13:00:00Z,Thomas Fire Ash,Nanoeukaryotes,0.8788607032836692,0.09016408172193274,0.0520562568533933,0.09016408172193278,0.8268044464302758,7.850462293418876e-17
13,34.23625,-122.2133,2023-08-14T13:00:00Z,Thomas Fire Ash,Picoeukaryotes,0.1991039564082456,0.05974294201218334,0.06876100308815053,0.05974294201218334,0.13034295332009507,2.7755575615628914e-17
13,34.23625,-122.2133,2023-08-14T13:00:00Z,Thomas Fire Ash,Synechococcus,0.08654180275403739,0.048895319216724686,0.15295624565304444,0.04889531921672469,-0.06641444289900707,9.813077866773595e-18
14,34.29497,-120.7948,2023-08-15T13:00:00Z,Control,Nanoeukaryotes,1.4421669642895991,0.22081760698389086,0.9169526030715088,0.2208176069838908,0.5252143612180903,1.1102230246251565e-16
14,34.29497,-120.7948,2023-08-15T13:00:00Z,Control,Picoeukaryotes,0.8099499495245256,0.40015299854772757,0.9577594540133366,0.40015299854772757,-0.14780950448881097,5.551115123125783e-17
14,34.29497,-120.7948,2023-08-15T13:00:00Z,Control,Synechococcus,0.8005551689425181,0.16202496532933489,0.7554704281882965,0.16202496532933489,0.04508474075422153,0
14,34.29497,-120.7948,2023-08-15T13:00:00Z,High Temp. Ash,Nanoeukaryotes,1.2081998002591594,0.20728031840372751,0.25656970193969547,0.2072803184037275,0.9516300983194639,7.850462293418876e-17
14,34.29497,-120.7948,2023-08-15T13:00:00Z,High Temp. Ash,Picoeukaryotes,0.4981435497453386,0.1516275303132489,0.5615131636779278,0.15162753031324888,-0.06336961393258926,3.254629732262919e-17
14,34.29497,-120.7948,2023-08-15T13:00:00Z,High Temp. Ash,Synechococcus,0.7128330078183869,0.16925387908500752,0.6411911281598585,0.1692538790850075,0.0716418796585284,3.254629732262919e-17
14,34.29497,-120.7948,2023-08-15T13:00:00Z,Low Temp. Ash,Nanoeukaryotes,1.042171981340832,0.08115167088516938,0.32463334765672763,0.08115167088516935,0.7175386336841045,0
14,34.29497,-120.7948,2023-08-15T13:00:00Z,Low Temp. Ash,Picoeukaryotes,-0.061382392288535544,0.0811756462676006,0.07316992947009428,0.0811756462676006,-0.13455232175862983,0
14,34.29497,-120.7948,2023-08-15T13:00:00Z,Low Temp. Ash,Synechococcus,0.35238420777849266,0.028823212295318243,0.27581620978390836,0.028823212295318243,0.0765679979945843,0
14,34.29497,-120.7948,2023-08-15T13:00:00Z,Thomas Fire Ash,Nanoeukaryotes,1.1753096876913973,0.07383771325948939,0.354967637292722,0.07383771325948929,0.8203420503986754,1.1102230246251565e-16
14,34.29497,-120.7948,2023-08-15T13:00:00Z,Thomas Fire Ash,Picoeukaryotes,0.3694968703080694,0.3205537619438758,0.39569924270209345,0.3205537619438758,-0.026202372394024086,3.024593730708204e-17
14,34.29497,-120.7948,2023-08-15T13:00:00Z,Thomas Fire Ash,Synechococcus,0.5849826133141105,0.08156225076266733,0.5296134780466359,0.0815622507626673,0.055369135267474535,3.217432742277823e-17
15,34.26434,-119.907,2023-08-16T13:00:00Z,Control,Nanoeukaryotes,2.0351955237809944,0.4825525597282192,1.0207577307673148,0.48255255972821914,1.0144377930136796,0
15,34.26434,-119.907,2023-08-16T13:00:00Z,Control,Picoeukaryotes,1.1275770641801397,0.3171477931802623,0.853387671772833,0.3171477931802623,0.27418939240730666,6.409875621278546e-17
15,34.26434,-119.907,2023-08-16T13:00:00Z,Control,Synechococcus,1.1145455708516403,0.1377719679843105,0.5533015600327562,0.13777196798431052,0.561244010818884,9.064933036736789e-17
15,34.26434,-119.907,2023-08-16T13:00:00Z,Thomas Fire Ash,Nanoeukaryotes,1.3341239631764068,0.13766780649082888,0.25779671929773196,0.13766780649082894,1.0763272438786748,1.5700924586837752e-16
15,34.26434,-119.907,2023-08-16T13:00:00Z,Thomas Fire Ash,Synechococcus,0.5057318894320229,0.13109662504301184,0.1303147636835499,0.13109662504301184,0.375417125748473,3.925231146709438e-17
16,34.21956,-119.5261,2023-08-17T13:00:00Z,Control,Nanoeukaryotes,1.582879927976198,0.1452392501467173,0.5718656986260742,0.14523925014671726,1.0110142293501239,0
16,34.21956,-119.5261,2023-08-17T13:00:00Z,Control,Picoeukaryotes,1.28564116212069,0.45619716849411146,1.1208487543234407,0.45619716849411146,0.16479240779724935,0
16,34.21956,-119.5261,2023-08-17T13:00:00Z,Control,Synechococcus,1.0677158043380657,0.2553843285452816,0.6319453467345723,0.2553843285452816,0.4357704576034934,6.409875621278546e-17
16,34.21956,-119.5261,2023-08-17T13:00:00Z,Thomas Fire Ash,Nanoeukaryotes,1.0279267200043547,0.20281281287889585,0.27762112560446084,0.20281281287889585,0.750305594399894,0
17,33.7988,-119.5719,2023-08-18T13:00:00Z,Control,Nanoeukaryotes,1.6604251363281886,0.48620512605635324,1.1994713426023709,0.4862051260563533,0.4609537937258176,9.064933036736789e-17
17,33.7988,-119.5719,2023-08-18T13:00:00Z,Control,Picoeukaryotes,1.6016500435969034,0.29715855905606403,1.4193284868029488,0.29715855905606403,0.18232155679395468,0
17,33.7988,-119.5719,2023-08-18T13:00:00Z,Control,Synechococcus,1.4197822777994922,0.2504607037204953,1.2134031526335354,0.2504607037204953,0.20637912516595683,5.551115123125783e-17
17,33.7988,-119.5719,2023-08-18T13:00:00Z,Thomas Fire Ash,Nanoeukaryotes,1.7424991170581547,0.19540661901140877,0.6126342848859405,0.19540661901140882,1.1298648321722142,0
17,33.7988,-119.5719,2023-08-18T13:00:00Z,Thomas Fire Ash,Picoeukaryotes,1.1185110725837288,0.13252237477622897,0.5378664723684814,0.13252237477622897,0.5806446002152476,1.3597399555105182e-16
17,33.7988,-119.5719,2023-08-18T13:00:00Z,Thomas Fire Ash,Synechococcus,1.068294307254872,0.1055964576392232,0.625557804349476,0.10559645763922328,0.44273650290539607,6.798699777552591e-17
